Serial Number:20585867 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","Stopped","EOF"
2020-06-11 19:09:59,23.13,20.38,-0.79, , , 
2020-06-11 19:14:59,22.73,20.33,-1.14, , , 
2020-06-11 19:19:59,22.62,22.64,0.23, , , 
2020-06-11 19:24:59,23.39,21.84,0.38, , , 
2020-06-11 19:29:59,23.45,23.09,1.21, , , 
2020-06-11 19:34:59,23.99,20.28,-0.14, , , 
2020-06-11 19:39:59,23.54,23.80,1.70, , , 
2020-06-11 19:44:59,23.82,18.62,-1.45, , , 
2020-06-11 19:49:59,23.47,22.09,0.61, , , 
2020-06-11 19:54:59,24.15,20.76,0.31, , , 
2020-06-11 19:59:59,24.28,18.97,-0.82, , , 
2020-06-11 20:04:59,23.38,19.26,-1.35, , , 
2020-06-11 20:09:59,22.88,21.05,-0.55, , , 
2020-06-11 20:14:59,23.17,22.24,0.46, , , 
2020-06-11 20:19:59,22.96,21.31,-0.31, , , 
2020-06-11 20:24:59,23.32,22.57,0.78, , , 
2020-06-11 20:29:59,23.35,19.27,-1.37, , , 
2020-06-11 20:34:59,22.64,19.81,-1.58, , , 
2020-06-11 20:39:59,22.63,23.42,0.71, , , 
2020-06-11 20:44:59,22.82,28.50,3.63, , , 
2020-06-11 20:49:59,22.84,21.90,-0.04, , , 
2020-06-11 20:54:59,22.80,27.26,2.98, , , 
2020-06-11 20:59:59,22.70,26.03,2.25, , , 
2020-06-11 21:04:59,22.32,29.00,3.44, , , 
2020-06-11 21:09:59,21.55,20.89,-1.76, , , 
2020-06-11 21:14:59,20.77,20.51,-2.65, , , 
2020-06-11 21:19:59,19.38,22.19,-2.75, , , 
2020-06-11 21:24:59,17.31,28.33,-1.20, , , 
2020-06-11 21:29:59,15.31,32.81,-0.93, , , 
2020-06-11 21:34:59,13.96,35.59,-1.01, , , 
2020-06-11 21:39:59,12.74,38.71,-0.96, , , 
2020-06-11 21:44:59,11.79,43.24,-0.29, , , 
2020-06-11 21:49:59,10.88,45.80,-0.33, , , 
2020-06-11 21:54:59,10.12,47.68,-0.47, , , 
2020-06-11 21:59:59,9.63,49.14,-0.51, , , 
2020-06-11 22:04:59,9.07,53.80,0.22, , , 
2020-06-11 22:09:59,8.50,55.26,0.05, , , 
2020-06-11 22:14:59,8.01,55.93,-0.24, , , 
2020-06-11 22:19:59,7.56,56.62,-0.50, , , 
2020-06-11 22:24:59,7.28,56.79,-0.72, , , 
2020-06-11 22:29:59,7.11,56.72,-0.89, , , 
2020-06-11 22:34:59,6.84,56.62,-1.17, , , 
2020-06-11 22:39:59,6.56,58.95,-0.88, , , 
2020-06-11 22:44:59,6.29,60.18,-0.85, , , 
2020-06-11 22:49:59,6.02,60.11,-1.12, , , 
2020-06-11 22:54:59,5.78,63.42,-0.62, , , 
2020-06-11 22:59:59,5.38,63.76,-0.93, , , 
2020-06-11 23:04:59,5.13,64.02,-1.10, , , 
2020-06-11 23:09:59,4.94,64.95,-1.09, , , 
2020-06-11 23:14:59,4.81,64.64,-1.28, , , 
2020-06-11 23:19:59,4.73,63.82,-1.53, , , 
2020-06-11 23:24:59,4.73,62.43,-1.83, , , 
2020-06-11 23:29:59,4.67,62.62,-1.84, , , 
2020-06-11 23:34:59,4.68,61.71,-2.03, , , 
2020-06-11 23:39:59,4.68,61.83,-2.00, , , 
2020-06-11 23:44:59,4.59,60.90,-2.30, , , 
2020-06-11 23:49:59,4.54,60.37,-2.46, , , 
2020-06-11 23:54:59,4.39,61.16,-2.43, , , 
2020-06-11 23:59:59,4.09,65.58,-1.77, , , 
2020-06-12 00:04:59,3.72,64.68,-2.31, , , 
2020-06-12 00:09:59,3.40,65.15,-2.52, , , 
2020-06-12 00:14:59,3.08,66.12,-2.63, , , 
2020-06-12 00:19:59,3.03,68.96,-2.10, , , 
2020-06-12 00:24:59,3.08,70.42,-1.78, , , 
2020-06-12 00:29:59,2.75,72.41,-1.71, , , 
2020-06-12 00:34:59,2.72,66.63,-2.86, , , 
2020-06-12 00:39:59,2.62,70.47,-2.20, , , 
2020-06-12 00:44:59,2.46,71.68,-2.13, , , 
2020-06-12 00:49:59,2.37,71.55,-2.24, , , 
2020-06-12 00:54:59,2.49,69.10,-2.60, , , 
2020-06-12 00:59:59,2.54,71.74,-2.04, , , 
2020-06-12 01:04:59,2.43,71.19,-2.25, , , 
2020-06-12 01:09:59,2.32,71.69,-2.26, , , 
2020-06-12 01:14:59,2.40,71.27,-2.27, , , 
2020-06-12 01:19:59,2.45,68.82,-2.68, , , 
2020-06-12 01:24:59,2.49,71.03,-2.23, , , 
2020-06-12 01:29:59,2.17,72.02,-2.34, , , 
2020-06-12 01:34:59,1.94,72.89,-2.41, , , 
2020-06-12 01:39:59,1.73,73.17,-2.55, , , 
2020-06-12 01:44:59,1.63,75.18,-2.29, , , 
2020-06-12 01:49:59,1.42,76.52,-2.25, , , 
2020-06-12 01:54:59,1.19,76.98,-2.40, , , 
2020-06-12 01:59:59,1.25,77.47,-2.25, , , 
2020-06-12 02:04:59,1.01,77.23,-2.53, , , 
2020-06-12 02:09:59,0.90,78.02,-2.50, , , 
2020-06-12 02:14:59,1.05,77.66,-2.41, , , 
2020-06-12 02:19:59,0.99,77.53,-2.49, , , 
2020-06-12 02:24:59,1.06,77.07,-2.51, , , 
2020-06-12 02:29:59,0.98,77.03,-2.59, , , 
2020-06-12 02:34:59,0.93,77.49,-2.56, , , 
2020-06-12 02:39:59,0.76,78.00,-2.64, , , 
2020-06-12 02:44:59,0.89,76.24,-2.82, , , 
2020-06-12 02:49:59,1.02,77.44,-2.48, , , 
2020-06-12 02:54:59,0.88,77.50,-2.61, , , 
2020-06-12 02:59:59,0.94,76.93,-2.65, , , 
2020-06-12 03:04:59,0.90,77.01,-2.67, , , 
2020-06-12 03:09:59,0.78,77.80,-2.65, , , 
2020-06-12 03:14:59,0.77,77.81,-2.66, , , 
2020-06-12 03:19:59,0.83,76.83,-2.77, , , 
2020-06-12 03:24:59,0.96,77.24,-2.57, , , 
2020-06-12 03:29:59,0.94,76.80,-2.67, , , 
2020-06-12 03:34:59,0.98,77.38,-2.53, , , 
2020-06-12 03:39:59,0.80,76.45,-2.87, , , 
2020-06-12 03:44:59,1.09,75.03,-2.84, , , 
2020-06-12 03:49:59,1.05,76.51,-2.62, , , 
2020-06-12 03:54:59,0.67,78.05,-2.71, , , 
2020-06-12 03:59:59,0.40,78.83,-2.84, , , 
2020-06-12 04:04:59,0.67,77.18,-2.86, , , 
2020-06-12 04:09:59,0.81,76.37,-2.87, , , 
2020-06-12 04:14:59,0.60,77.10,-2.95, , , 
2020-06-12 04:19:59,0.39,78.64,-2.88, , , 
2020-06-12 04:24:59,0.32,79.07,-2.88, , , 
2020-06-12 04:29:59,0.46,77.13,-3.08, , , 
2020-06-12 04:34:59,0.65,77.83,-2.77, , , 
2020-06-12 04:39:59,0.60,77.64,-2.86, , , 
2020-06-12 04:44:59,0.62,77.28,-2.90, , , 
2020-06-12 04:49:59,0.71,77.67,-2.75, , , 
2020-06-12 04:54:59,0.35,78.43,-2.96, , , 
2020-06-12 04:59:59,0.22,79.08,-2.98, , , 
2020-06-12 05:04:59,0.19,79.02,-3.02, , , 
2020-06-12 05:09:59,0.29,78.05,-3.09, , , 
2020-06-12 05:14:59,0.53,77.58,-2.93, , , 
2020-06-12 05:19:59,0.33,77.98,-3.06, , , 
2020-06-12 05:24:59,0.06,79.03,-3.14, , , 
2020-06-12 05:29:59,-0.14,80.10,-3.16, , , 
2020-06-12 05:34:59,-0.25,80.79,-3.15, , , 
2020-06-12 05:39:59,-0.02,79.96,-3.07, , , 
2020-06-12 05:44:59,0.29,78.04,-3.09, , , 
2020-06-12 05:49:59,0.49,76.53,-3.15, , , 
2020-06-12 05:54:59,0.19,78.24,-3.15, , , 
2020-06-12 05:59:59,0.07,77.29,-3.43, , , 
2020-06-12 06:04:59,-0.13,79.96,-3.17, , , 
2020-06-12 06:09:59,-0.22,79.96,-3.26, , , 
2020-06-12 06:14:59,0.01,79.17,-3.17, , , 
2020-06-12 06:19:59,0.21,77.49,-3.26, , , 
2020-06-12 06:24:59,0.03,77.57,-3.42, , , 
2020-06-12 06:29:59,-0.16,79.03,-3.36, , , 
2020-06-12 06:34:59,-0.23,78.59,-3.50, , , 
2020-06-12 06:39:59,-0.38,80.25,-3.37, , , 
2020-06-12 06:44:59,-0.51,80.67,-3.42, , , 
2020-06-12 06:49:59,-0.46,80.40,-3.42, , , 
2020-06-12 06:54:59,-0.17,78.33,-3.49, , , 
2020-06-12 06:59:59,-0.37,79.58,-3.47, , , 
2020-06-12 07:04:59,-0.73,81.46,-3.51, , , 
2020-06-12 07:09:59,-0.79,82.29,-3.43, , , 
2020-06-12 07:14:59,-0.84,82.31,-3.48, , , 
2020-06-12 07:19:59,-0.65,81.90,-3.35, , , 
2020-06-12 07:24:59,-0.66,81.34,-3.46, , , 
2020-06-12 07:29:59,-0.86,82.11,-3.53, , , 
2020-06-12 07:34:59,-0.87,82.70,-3.44, , , 
2020-06-12 07:39:59,-0.91,82.93,-3.45, , , 
2020-06-12 07:44:59,-0.74,81.89,-3.45, , , 
2020-06-12 07:49:59,-0.51,80.26,-3.49, , , 
2020-06-12 07:54:59,-0.43,79.89,-3.48, , , 
2020-06-12 07:59:59,-0.50,80.95,-3.36, , , 
2020-06-12 08:04:59,-0.36,80.41,-3.32, , , 
2020-06-12 08:09:59,-0.22,79.98,-3.25, , , 
2020-06-12 08:14:59,-0.17,79.11,-3.36, , , 
2020-06-12 08:19:59,-0.00,79.24,-3.17, , , 
2020-06-12 08:24:59,-0.29,80.61,-3.22, , , 
2020-06-12 08:29:59,-0.37,80.85,-3.25, , , 
2020-06-12 08:34:59,-0.14,80.65,-3.07, , , 
2020-06-12 08:39:59,-0.13,80.73,-3.04, , , 
2020-06-12 08:44:59,-0.30,80.56,-3.24, , , 
2020-06-12 08:49:59,0.07,79.18,-3.10, , , 
2020-06-12 08:54:59,0.27,80.16,-2.75, , , 
2020-06-12 08:59:59,0.06,80.31,-2.93, , , 
2020-06-12 09:04:59,-0.12,81.26,-2.95, , , 
2020-06-12 09:09:59,-0.03,80.97,-2.91, , , 
2020-06-12 09:14:59,0.06,82.05,-2.64, , , 
2020-06-12 09:19:59,-0.11,82.67,-2.70, , , 
2020-06-12 09:24:59,0.03,82.49,-2.60, , , 
2020-06-12 09:29:59,0.12,82.90,-2.45, , , 
2020-06-12 09:34:59,0.31,83.00,-2.24, , , 
2020-06-12 09:39:59,0.83,81.56,-1.96, , , 
2020-06-12 09:44:59,1.01,82.44,-1.65, , , 
2020-06-12 09:49:59,1.42,80.14,-1.62, , , 
2020-06-12 09:54:59,2.02,78.79,-1.27, , , 
2020-06-12 09:59:59,2.55,76.05,-1.24, , , 
2020-06-12 10:04:59,3.30,72.96,-1.08, , , 
2020-06-12 10:09:59,4.05,69.85,-0.95, , , 
2020-06-12 10:14:59,5.03,61.93,-1.66, , , 
2020-06-12 10:19:59,6.11,57.16,-1.72, , , 
2020-06-12 10:24:59,7.26,55.14,-1.14, , , 
2020-06-12 10:29:59,8.29,56.53,0.16, , , 
2020-06-12 10:34:59,9.35,54.45,0.64, , , 
2020-06-12 10:39:59,10.35,53.06,1.21, , , 
2020-06-12 10:44:59,11.28,46.80,0.33, , , 
2020-06-12 10:49:59,12.15,41.16,-0.65, , , 
2020-06-12 10:54:59,13.04,44.72,1.30, , , 
2020-06-12 10:59:59,14.08,50.16,3.87, , , 
2020-06-12 11:04:59,14.98,44.07,2.86, , , 
2020-06-12 11:09:59,15.81,44.48,3.74, , , 
2020-06-12 11:14:59,16.63,41.13,3.38, , , 
2020-06-12 11:19:59,17.11,42.53,4.29, , , 
2020-06-12 11:24:59,17.41,36.04,2.22, , , 
2020-06-12 11:29:59,17.72,32.37,0.98, , , 
2020-06-12 11:34:59,17.96,33.00,1.47, , , 
2020-06-12 11:39:59,18.03,33.21,1.62, , , 
2020-06-12 11:44:59,18.26,33.68,2.02, , , 
2020-06-12 11:49:59,18.40,31.52,1.22, , , 
2020-06-12 11:54:59,18.67,32.21,1.75, , , 
2020-06-12 11:59:59,18.93,35.25,3.25, , , 
2020-06-12 12:04:59,19.01,29.71,0.92, , , 
2020-06-12 12:09:59,19.13,34.65,3.18, , , 
2020-06-12 12:14:59,19.18,30.46,1.42, , , 
2020-06-12 12:19:59,19.30,30.44,1.51, , , 
2020-06-12 12:24:59,19.32,32.24,2.34, , , 
2020-06-12 12:29:59,19.52,32.29,2.53, , , 
2020-06-12 12:34:59,19.62,30.68,1.90, , , 
2020-06-12 12:39:59,19.87,30.55,2.06, , , 
2020-06-12 12:44:59,20.35,32.89,3.52, , , 
2020-06-12 12:49:59,20.72,29.15,2.13, , , 
2020-06-12 12:54:59,20.98,31.12,3.27, , , 
2020-06-12 12:59:59,21.31,27.65,1.90, , , 
2020-06-12 13:04:59,21.31,25.29,0.66, , , 
2020-06-12 13:09:59,21.50,31.59,3.95, , , 
2020-06-12 13:14:59,21.98,27.96,2.63, , , 
2020-06-12 13:19:59,21.98,25.14,1.15, , , 
2020-06-12 13:24:59,22.07,27.01,2.23, , , 
2020-06-12 13:29:59,22.33,32.54,5.09, , , 
2020-06-12 13:34:59,22.54,29.13,3.70, , , 
2020-06-12 13:39:59,22.48,24.54,1.23, , , 
2020-06-12 13:44:59,22.67,27.98,3.24, , , 
2020-06-12 13:49:59,22.54,23.26,0.54, , , 
2020-06-12 13:54:59,22.36,31.27,4.55, , , 
2020-06-12 13:59:59,22.93,26.88,2.89, , , 
2020-06-12 14:04:59,23.37,28.24,3.96, , , 
2020-06-12 14:09:59,23.80,24.48,2.31, , , 
2020-06-12 14:14:59,22.60,24.83,1.49, , , 
2020-06-12 14:19:59,21.85,27.15,2.12, , , 
2020-06-12 14:24:59,22.91,22.62,0.46, , , 
2020-06-12 14:29:59,23.17,29.50,4.42, , , 
2020-06-12 14:34:59,22.11,25.04,1.20, , , 
2020-06-12 14:39:59,21.07,27.72,1.73, , , 
2020-06-12 14:44:59,21.09,25.65,0.68, , , 
2020-06-12 14:49:59,20.76,28.46,1.83, , , 
2020-06-12 14:54:59,20.46,28.06,1.38, , , 
2020-06-12 14:59:59,20.44,29.92,2.26, , , 
2020-06-12 15:04:59,21.87,30.97,3.98, , , 
2020-06-12 15:09:59,23.45,26.50,3.14, , , 
2020-06-12 15:14:59,22.44,24.74,1.32, , , 
2020-06-12 15:19:59,21.92,24.12,0.52, , , 
2020-06-12 15:24:59,21.51,20.92,-1.77, , , 
2020-06-12 15:29:59,21.08,24.80,0.20, , , 
2020-06-12 15:34:59,20.76,28.47,1.84, , , 
2020-06-12 15:39:59,20.25,26.74,0.52, , , 
2020-06-12 15:44:59,20.09,29.23,1.63, , , 
2020-06-12 15:49:59,21.68,32.56,4.54, , , 
2020-06-12 15:54:59,23.22,29.58,4.49, , , 
2020-06-12 15:59:59,24.17,24.61,2.70, , , 
2020-06-12 16:04:59,24.64,23.48,2.44, , , 
2020-06-12 16:09:59,25.29,26.34,4.61, , , 
2020-06-12 16:14:59,26.09,27.85,6.10, , , 
2020-06-12 16:19:59,26.34,23.05,3.60, , , 
2020-06-12 16:24:59,25.37,24.27,3.52, , , 
2020-06-12 16:29:59,24.12,23.75,2.16, , , 
2020-06-12 16:34:59,24.55,26.60,4.12, , , 
2020-06-12 16:39:59,25.57,25.18,4.21, , , 
2020-06-12 16:44:59,25.27,22.46,2.33, , , 
2020-06-12 16:49:59,24.09,22.99,1.68, , , 
2020-06-12 16:54:59,22.36,23.60,0.59, , , 
2020-06-12 16:59:59,21.94,23.79,0.35, , , 
2020-06-12 17:04:59,21.96,27.84,2.56, , , 
2020-06-12 17:09:59,23.53,28.10,4.03, , , 
2020-06-12 17:14:59,25.38,24.85,3.86, , , 
2020-06-12 17:19:59,25.53,20.50,1.28, , , 
2020-06-12 17:24:59,24.70,27.05,4.49, , , 
2020-06-12 17:29:59,25.59,22.64,2.71, , , 
2020-06-12 17:34:59,24.46,21.42,1.00, , , 
2020-06-12 17:39:59,22.73,23.95,1.11, , , 
2020-06-12 17:44:59,21.69,25.49,1.10, , , 
2020-06-12 17:49:59,21.73,24.09,0.34, , , 
2020-06-12 17:54:59,22.67,28.51,3.50, , , 
2020-06-12 17:59:59,24.65,22.47,1.83, , , 
2020-06-12 18:04:59,25.00,21.06,1.21, , , 
2020-06-12 18:09:59,23.42,21.96,0.49, , , 
2020-06-12 18:14:59,21.59,23.81,0.06, , , 
2020-06-12 18:19:59,21.01,25.42,0.48, , , 
2020-06-12 18:24:59,20.91,27.61,1.54, , , 
2020-06-12 18:29:59,21.17,28.49,2.20, , , 
2020-06-12 18:34:59,21.53,27.39,1.96, , , 
2020-06-12 18:39:59,23.00,25.72,2.33, , , 
2020-06-12 18:44:59,23.85,25.77,3.08, , , 
2020-06-12 18:49:59,25.07,23.03,2.53, , , 
2020-06-12 18:54:59,25.59,24.43,3.79, , , 
2020-06-12 18:59:59,25.24,21.79,1.89, , , 
2020-06-12 19:04:59,23.26,23.90,1.52, , , 
2020-06-12 19:09:59,21.57,25.24,0.85, , , 
2020-06-12 19:14:59,20.73,23.73,-0.70, , , 
2020-06-12 19:19:59,20.28,32.27,3.18, , , 
2020-06-12 19:24:59,21.17,26.34,1.10, , , 
2020-06-12 19:29:59,22.51,25.32,1.69, , , 
2020-06-12 19:34:59,23.09,26.48,2.82, , , 
2020-06-12 19:39:59,23.65,27.37,3.76, , , 
2020-06-12 19:44:59,23.40,24.45,1.96, , , 
2020-06-12 19:49:59,22.61,24.05,1.06, , , 
2020-06-12 19:54:59,22.34,22.61,-0.02, , , 
2020-06-12 19:59:59,22.36,25.68,1.76, , , 
2020-06-12 20:04:59,23.10,28.15,3.69, , , 
2020-06-12 20:09:59,23.99,23.69,2.01, , , 
2020-06-12 20:14:59,24.44,29.89,5.70, , , 
2020-06-12 20:19:59,24.75,31.34,6.66, , , 
2020-06-12 20:24:59,25.09,23.78,2.99, , , 
2020-06-12 20:29:59,25.32,25.19,4.00, , , 
2020-06-12 20:34:59,24.50,27.32,4.46, , , 
2020-06-12 20:39:59,23.53,28.42,4.19, , , 
2020-06-12 20:44:59,22.44,24.54,1.20, , , 
2020-06-12 20:49:59,21.30,28.18,2.16, , , 
2020-06-12 20:54:59,21.44,33.43,4.70, , , 
2020-06-12 20:59:59,22.14,33.59,5.39, , , 
2020-06-12 21:04:59,22.57,29.97,4.13, , , 
2020-06-12 21:09:59,22.41,32.55,5.17, , , 
2020-06-12 21:14:59,22.28,28.59,3.21, , , 
2020-06-12 21:19:59,22.04,32.24,4.70, , , 
2020-06-12 21:24:59,20.71,34.60,4.55, , , 
2020-06-12 21:29:59,19.18,37.68,4.42, , , 
2020-06-12 21:34:59,17.43,40.11,3.74, , , 
2020-06-12 21:39:59,16.26,43.22,3.75, , , 
2020-06-12 21:44:59,15.37,44.29,3.29, , , 
2020-06-12 21:49:59,14.81,53.40,5.44, , , 
2020-06-12 21:54:59,14.18,53.90,4.99, , , 
2020-06-12 21:59:59,13.64,51.09,3.73, , , 
2020-06-12 22:04:59,13.29,55.85,4.67, , , 
2020-06-12 22:09:59,12.87,58.06,4.83, , , 
2020-06-12 22:14:59,12.42,45.87,1.09, , , 
2020-06-12 22:19:59,12.99,42.39,0.52, , , 
2020-06-12 22:24:59,13.54,41.31,0.66, , , 
2020-06-12 22:29:59,13.51,44.97,1.81, , , 
2020-06-12 22:34:59,12.91,46.12,1.62, , , 
2020-06-12 22:39:59,12.34,50.16,2.27, , , 
2020-06-12 22:44:59,11.71,49.68,1.55, , , 
2020-06-12 22:49:59,11.22,50.89,1.43, , , 
2020-06-12 22:54:59,10.78,51.41,1.17, , , 
2020-06-12 22:59:59,10.29,54.40,1.51, , , 
2020-06-12 23:04:59,9.92,58.56,2.19, , , 
2020-06-12 23:09:59,9.51,58.68,1.83, , , 
2020-06-12 23:14:59,9.29,62.83,2.58, , , 
2020-06-12 23:19:59,8.96,63.31,2.38, , , 
2020-06-12 23:24:59,8.65,63.35,2.09, , , 
2020-06-12 23:29:59,8.44,63.60,1.94, , , 
2020-06-12 23:34:59,8.55,64.81,2.31, , , 
2020-06-12 23:39:59,8.34,60.97,1.26, , , 
2020-06-12 23:44:59,8.05,67.14,2.33, , , 
2020-06-12 23:49:59,7.90,66.62,2.08, , , 
2020-06-12 23:54:59,7.87,66.75,2.08, , , 
2020-06-12 23:59:59,7.90,68.14,2.40, , , 
2020-06-13 00:04:59,7.72,68.87,2.37, , , 
2020-06-13 00:09:59,7.82,65.95,1.86, , , 
2020-06-13 00:14:59,7.92,63.35,1.40, , , 
2020-06-13 00:19:59,7.92,63.15,1.36, , , 
2020-06-13 00:24:59,7.96,66.85,2.18, , , 
2020-06-13 00:29:59,7.78,66.06,1.85, , , 
2020-06-13 00:34:59,7.55,66.19,1.65, , , 
2020-06-13 00:39:59,7.30,69.55,2.11, , , 
2020-06-13 00:44:59,7.12,68.71,1.77, , , 
2020-06-13 00:49:59,7.07,67.43,1.45, , , 
2020-06-13 00:54:59,6.99,67.75,1.45, , , 
2020-06-13 00:59:59,6.79,69.53,1.61, , , 
2020-06-13 01:04:59,6.48,71.09,1.62, , , 
2020-06-13 01:09:59,6.26,71.80,1.55, , , 
2020-06-13 01:14:59,6.05,73.43,1.66, , , 
2020-06-13 01:19:59,5.77,74.32,1.56, , , 
2020-06-13 01:24:59,5.57,75.40,1.57, , , 
2020-06-13 01:29:59,5.37,75.74,1.44, , , 
2020-06-13 01:34:59,5.30,75.22,1.27, , , 
2020-06-13 01:39:59,5.46,75.50,1.48, , , 
2020-06-13 01:44:59,5.49,74.66,1.35, , , 
2020-06-13 01:49:59,5.63,75.05,1.56, , , 
2020-06-13 01:54:59,5.61,75.55,1.63, , , 
2020-06-13 01:59:59,5.59,74.54,1.42, , , 
2020-06-13 02:04:59,5.66,73.25,1.25, , , 
2020-06-13 02:09:59,5.91,72.17,1.29, , , 
2020-06-13 02:14:59,6.00,74.76,1.87, , , 
2020-06-13 02:19:59,6.06,74.36,1.85, , , 
2020-06-13 02:24:59,6.07,73.76,1.75, , , 
2020-06-13 02:29:59,6.07,75.24,2.02, , , 
2020-06-13 02:34:59,6.23,73.04,1.76, , , 
2020-06-13 02:39:59,6.35,71.63,1.60, , , 
2020-06-13 02:44:59,6.49,72.03,1.82, , , 
2020-06-13 02:49:59,6.43,73.84,2.11, , , 
2020-06-13 02:54:59,6.29,75.13,2.22, , , 
2020-06-13 02:59:59,6.19,74.66,2.03, , , 
2020-06-13 03:04:59,6.09,74.97,1.99, , , 
2020-06-13 03:09:59,6.11,73.98,1.83, , , 
2020-06-13 03:14:59,6.14,74.69,1.99, , , 
2020-06-13 03:19:59,6.11,72.25,1.50, , , 
2020-06-13 03:24:59,5.97,75.54,1.98, , , 
2020-06-13 03:29:59,5.71,76.85,1.98, , , 
2020-06-13 03:34:59,5.52,77.14,1.84, , , 
2020-06-13 03:39:59,5.43,76.82,1.70, , , 
2020-06-13 03:44:59,5.39,76.61,1.62, , , 
2020-06-13 03:49:59,5.34,76.35,1.52, , , 
2020-06-13 03:54:59,5.13,76.62,1.37, , , 
2020-06-13 03:59:59,4.93,78.07,1.43, , , 
2020-06-13 04:04:59,4.97,78.10,1.48, , , 
2020-06-13 04:09:59,5.02,77.56,1.43, , , 
2020-06-13 04:14:59,4.93,77.57,1.34, , , 
2020-06-13 04:19:59,4.88,77.98,1.37, , , 
2020-06-13 04:24:59,4.83,77.61,1.26, , , 
2020-06-13 04:29:59,4.76,78.55,1.35, , , 
2020-06-13 04:34:59,4.69,78.90,1.35, , , 
2020-06-13 04:39:59,4.80,79.17,1.50, , , 
2020-06-13 04:44:59,4.78,79.21,1.49, , , 
2020-06-13 04:49:59,4.87,79.96,1.71, , , 
2020-06-13 04:54:59,4.98,79.60,1.76, , , 
2020-06-13 04:59:59,5.15,79.26,1.85, , , 
2020-06-13 05:04:59,5.24,78.49,1.81, , , 
2020-06-13 05:09:59,5.42,78.10,1.92, , , 
2020-06-13 05:14:59,5.57,74.80,1.46, , , 
2020-06-13 05:19:59,5.66,78.62,2.24, , , 
2020-06-13 05:24:59,5.76,76.76,2.00, , , 
2020-06-13 05:29:59,5.79,79.23,2.48, , , 
2020-06-13 05:34:59,5.78,79.14,2.45, , , 
2020-06-13 05:39:59,5.80,77.14,2.11, , , 
2020-06-13 05:44:59,6.02,75.79,2.08, , , 
2020-06-13 05:49:59,6.15,78.47,2.70, , , 
2020-06-13 05:54:59,6.15,80.25,3.01, , , 
2020-06-13 05:59:59,6.12,77.60,2.51, , , 
2020-06-13 06:04:59,6.14,79.12,2.80, , , 
2020-06-13 06:09:59,6.16,79.08,2.82, , , 
2020-06-13 06:14:59,6.19,78.88,2.80, , , 
2020-06-13 06:19:59,6.22,77.22,2.53, , , 
2020-06-13 06:24:59,6.34,79.61,3.08, , , 
2020-06-13 06:29:59,6.36,76.03,2.45, , , 
2020-06-13 06:34:59,6.41,80.74,3.35, , , 
2020-06-13 06:39:59,6.39,80.24,3.24, , , 
2020-06-13 06:44:59,6.40,79.98,3.21, , , 
2020-06-13 06:49:59,6.49,79.17,3.14, , , 
2020-06-13 06:54:59,6.53,80.70,3.46, , , 
2020-06-13 06:59:59,6.60,77.61,2.98, , , 
2020-06-13 07:04:59,6.71,77.71,3.10, , , 
