Serial Number:20638359 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","EOF"
2020-06-18 14:52:30,16.24,34.41,0.53, 
2020-06-18 14:53:30,16.14,32.56,-0.31, 
2020-06-18 14:54:30,16.12,36.72,1.33, 
2020-06-18 14:55:30,16.22,30.60,-1.09, 
2020-06-18 14:56:30,16.21,32.02,-0.48, 
2020-06-18 14:57:30,16.30,37.05,1.62, 
2020-06-18 14:58:30,16.32,31.19,-0.74, 
2020-06-18 14:59:30,16.25,31.95,-0.48, 
2020-06-18 15:00:30,16.14,30.88,-1.04, 
2020-06-18 15:01:30,15.91,33.67,-0.05, 
2020-06-18 15:02:30,15.80,31.71,-0.98, 
2020-06-18 15:03:30,15.69,32.89,-0.57, 
2020-06-18 15:04:30,15.59,31.15,-1.40, 
2020-06-18 15:05:30,15.53,30.88,-1.57, 
2020-06-18 15:06:30,15.55,33.65,-0.38, 
2020-06-18 15:07:30,15.58,37.97,1.32, 
2020-06-18 15:08:30,15.71,36.14,0.75, 
2020-06-18 15:09:30,15.73,34.07,-0.05, 
2020-06-18 15:10:30,15.80,38.35,1.65, 
2020-06-18 15:11:30,15.95,35.22,0.60, 
2020-06-18 15:12:30,16.04,34.86,0.54, 
2020-06-18 15:13:30,16.08,30.84,-1.10, 
2020-06-18 15:14:30,16.11,35.09,0.69, 
2020-06-18 15:15:30,16.18,34.37,0.47, 
2020-06-18 15:16:30,16.17,35.13,0.76, 
2020-06-18 15:17:30,16.10,34.42,0.41, 
2020-06-18 15:18:30,16.17,34.20,0.39, 
2020-06-18 15:19:30,16.34,29.40,-1.53, 
2020-06-18 15:20:30,16.31,33.49,0.22, 
2020-06-18 15:21:30,16.36,30.46,-1.03, 
2020-06-18 15:22:30,16.39,36.88,1.63, 
2020-06-18 15:23:30,16.54,31.94,-0.23, 
2020-06-18 15:24:30,16.59,31.25,-0.48, 
2020-06-18 15:25:30,16.55,34.26,0.75, 
2020-06-18 15:26:30,16.52,31.87,-0.27, 
2020-06-18 15:27:30,16.56,34.69,0.93, 
2020-06-18 15:28:30,16.55,30.91,-0.67, 
2020-06-18 15:29:30,16.51,32.50,-0.01, 
2020-06-18 15:30:30,16.46,30.65,-0.86, 
2020-06-18 15:31:30,16.43,31.63,-0.46, 
2020-06-18 15:32:30,16.54,31.90,-0.25, 
2020-06-18 15:33:30,16.63,33.29,0.43, 
2020-06-18 15:34:30,16.65,32.01,-0.10, 
2020-06-18 15:35:30,16.70,31.62,-0.23, 
2020-06-18 15:36:30,16.76,31.29,-0.32, 
2020-06-18 15:37:30,16.81,32.28,0.16, 
2020-06-18 15:38:30,16.86,31.97,0.06, 
2020-06-18 15:39:30,16.99,35.77,1.73, 
2020-06-18 15:40:30,17.10,34.25,1.23, 
2020-06-18 15:41:30,17.09,32.67,0.57, 
2020-06-18 15:42:30,17.05,30.92,-0.23, 
2020-06-18 15:43:30,17.07,32.86,0.63, 
2020-06-18 15:44:30,17.13,32.54,0.54, 
2020-06-18 15:45:30,17.22,34.15,1.30, 
2020-06-18 15:46:30,17.29,27.84,-1.46, 
2020-06-18 15:47:30,17.28,28.53,-1.13, 
2020-06-18 15:48:30,17.26,32.17,0.51, 
2020-06-18 15:49:30,17.29,29.80,-0.53, 
2020-06-18 15:50:30,17.34,33.17,0.99, 
2020-06-18 15:51:30,17.34,27.61,-1.53, 
2020-06-18 15:52:30,17.30,30.73,-0.10, 
2020-06-18 15:53:30,17.17,33.03,0.79, 
2020-06-18 15:54:30,17.06,33.66,0.95, 
2020-06-18 15:55:30,17.04,27.57,-1.80, 
2020-06-18 15:56:30,16.86,31.06,-0.33, 
2020-06-18 15:57:30,16.66,30.70,-0.66, 
2020-06-18 15:58:30,16.57,32.97,0.23, 
2020-06-18 15:59:30,16.60,34.61,0.93, 
2020-06-18 16:00:30,16.71,34.81,1.11, 
2020-06-18 16:01:30,16.82,34.24,0.99, 
2020-06-18 16:02:30,16.95,33.07,0.61, 
2020-06-18 16:03:30,17.16,31.76,0.24, 
2020-06-18 16:04:30,17.30,29.87,-0.49, 
2020-06-18 16:05:30,17.40,32.80,0.90, 
2020-06-18 16:06:30,17.51,35.83,2.23, 
2020-06-18 16:07:30,17.61,33.66,1.43, 
2020-06-18 16:08:30,17.74,33.21,1.36, 
2020-06-18 16:09:30,17.70,27.97,-1.03, 
2020-06-18 16:10:30,17.50,29.71,-0.39, 
2020-06-18 16:11:30,17.38,34.96,1.77, 
2020-06-18 16:12:30,17.36,28.28,-1.18, 
2020-06-18 16:13:30,17.38,34.83,1.72, 
2020-06-18 16:14:30,17.46,34.96,1.83, 
2020-06-18 16:15:30,17.60,32.15,0.79, 
2020-06-18 16:16:30,17.67,32.87,1.16, 
2020-06-18 16:17:30,17.72,32.28,0.95, 
2020-06-18 16:18:30,17.78,31.53,0.68, 
2020-06-18 16:19:30,17.75,29.40,-0.31, 
2020-06-18 16:20:30,17.73,33.44,1.45, 
2020-06-18 16:21:30,17.82,32.03,0.93, 
2020-06-18 16:22:30,17.79,29.82,-0.08, 
2020-06-18 16:23:30,17.73,29.36,-0.35, 
2020-06-18 16:24:30,17.80,29.45,-0.25, 
2020-06-18 16:25:30,17.79,34.32,1.87, 
2020-06-18 16:26:30,17.80,30.92,0.43, 
2020-06-18 16:27:30,17.77,28.96,-0.50, 
2020-06-18 16:28:30,17.59,32.84,1.07, 
2020-06-18 16:29:30,17.56,28.89,-0.71, 
2020-06-18 16:30:30,17.55,31.87,0.63, 
2020-06-18 16:31:30,17.66,31.38,0.51, 
2020-06-18 16:32:30,17.59,30.10,-0.13, 
2020-06-18 16:33:30,17.63,30.67,0.16, 
2020-06-18 16:34:30,17.67,31.69,0.66, 
2020-06-18 16:35:30,17.76,29.51,-0.25, 
2020-06-18 16:36:30,17.70,30.45,0.13, 
2020-06-18 16:37:30,17.74,30.04,-0.03, 
2020-06-18 16:38:30,17.66,33.64,1.47, 
2020-06-18 16:39:30,17.70,28.85,-0.61, 
2020-06-18 16:40:30,17.75,33.95,1.68, 
2020-06-18 16:41:30,17.76,31.42,0.61, 
2020-06-18 16:42:30,17.78,30.66,0.29, 
2020-06-18 16:43:30,17.89,30.85,0.47, 
2020-06-18 16:44:30,17.97,33.62,1.74, 
2020-06-18 16:45:30,18.03,30.38,0.38, 
2020-06-18 16:46:30,18.00,34.63,2.18, 
2020-06-18 16:47:30,18.03,32.35,1.25, 
2020-06-18 16:48:30,18.04,28.29,-0.59, 
2020-06-18 16:49:30,18.09,27.84,-0.77, 
2020-06-18 16:50:30,18.00,31.59,0.90, 
2020-06-18 16:51:30,18.07,30.78,0.60, 
2020-06-18 16:52:30,18.24,31.67,1.14, 
2020-06-18 16:53:30,18.43,29.87,0.50, 
2020-06-18 16:54:30,18.59,30.86,1.09, 
2020-06-18 16:55:30,18.70,30.46,1.00, 
2020-06-18 16:56:30,18.66,27.05,-0.67, 
2020-06-18 16:57:30,18.54,29.21,0.28, 
2020-06-18 16:58:30,18.41,33.75,2.18, 
2020-06-18 16:59:30,18.30,32.25,1.45, 
2020-06-18 17:00:30,18.26,27.85,-0.61, 
2020-06-18 17:01:30,18.11,28.84,-0.26, 
2020-06-18 17:02:30,18.03,29.58,0.01, 
2020-06-18 17:03:30,17.99,31.90,1.03, 
2020-06-18 17:04:30,18.06,29.59,0.04, 
2020-06-18 17:05:30,18.03,28.46,-0.52, 
2020-06-18 17:06:30,17.99,32.68,1.36, 
2020-06-18 17:07:30,18.00,32.36,1.23, 
2020-06-18 17:08:30,17.85,30.05,0.08, 
2020-06-18 17:09:30,17.79,34.11,1.78, 
2020-06-18 17:10:30,17.83,34.76,2.08, 
2020-06-18 17:11:30,17.92,28.83,-0.43, 
2020-06-18 17:12:30,17.83,28.16,-0.83, 
2020-06-18 17:13:30,17.80,32.47,1.10, 
2020-06-18 17:14:30,17.83,29.19,-0.34, 
2020-06-18 17:15:30,17.89,28.82,-0.47, 
2020-06-18 17:16:30,17.88,29.33,-0.24, 
2020-06-18 17:17:30,17.88,31.99,0.96, 
2020-06-18 17:18:30,17.84,27.06,-1.36, 
2020-06-18 17:19:30,17.63,29.73,-0.26, 
2020-06-18 17:20:30,17.59,32.38,0.88, 
2020-06-18 17:21:30,17.63,31.63,0.59, 
2020-06-18 17:22:30,17.61,31.11,0.34, 
2020-06-18 17:23:30,17.62,34.33,1.72, 
2020-06-18 17:24:30,17.73,32.32,0.98, 
2020-06-18 17:25:30,17.88,31.20,0.62, 
2020-06-18 17:26:30,18.06,28.80,-0.33, 
2020-06-18 17:27:30,18.25,36.60,3.18, 
2020-06-18 17:28:30,18.39,33.51,2.06, 
2020-06-18 17:29:30,18.37,28.47,-0.22, 
2020-06-18 17:30:30,18.26,32.52,1.53, 
2020-06-18 17:31:30,18.20,33.15,1.74, 
2020-06-18 17:32:30,18.14,35.22,2.54, 
2020-06-18 17:33:30,18.02,31.56,0.90, 
2020-06-18 17:34:30,17.94,29.93,0.10, 
2020-06-18 17:35:30,17.88,29.81,-0.01, 
2020-06-18 17:36:30,17.87,28.75,-0.52, 
2020-06-18 17:37:30,17.85,29.73,-0.07, 
2020-06-18 17:38:30,17.89,29.34,-0.22, 
2020-06-18 17:39:30,17.94,29.36,-0.17, 
2020-06-18 17:40:30,17.99,32.72,1.38, 
2020-06-18 17:41:30,18.10,30.04,0.29, 
2020-06-18 17:42:30,18.17,27.53,-0.85, 
2020-06-18 17:43:30,18.18,30.35,0.50, 
2020-06-18 17:44:30,18.20,29.36,0.06, 
2020-06-18 17:45:30,18.10,32.14,1.23, 
2020-06-18 17:46:30,17.96,29.79,0.05, 
2020-06-18 17:47:30,17.82,29.91,-0.01, 
2020-06-18 17:48:30,17.77,31.85,0.81, 
2020-06-18 17:49:30,17.69,29.03,-0.53, 
2020-06-18 17:50:30,17.65,30.57,0.14, 
2020-06-18 17:51:30,17.56,28.67,-0.82, 
2020-06-18 17:52:30,17.48,32.27,0.73, 
2020-06-18 17:53:30,17.55,34.55,1.75, 
2020-06-18 17:54:30,17.74,33.00,1.27, 
2020-06-18 17:55:30,17.90,32.39,1.15, 
2020-06-18 17:56:30,18.09,27.10,-1.13, 
2020-06-18 17:57:30,18.25,31.24,0.96, 
2020-06-18 17:58:30,18.25,28.91,-0.11, 
2020-06-18 17:59:30,18.28,29.23,0.07, 
2020-06-18 18:00:30,18.34,32.93,1.77, 
2020-06-18 18:01:30,18.39,30.37,0.69, 
2020-06-18 18:02:30,18.29,31.08,0.93, 
2020-06-18 18:03:30,18.14,31.39,0.93, 
2020-06-18 18:04:30,18.11,30.57,0.54, 
2020-06-18 18:05:30,18.17,28.58,-0.34, 
2020-06-18 18:06:30,18.15,33.36,1.79, 
2020-06-18 18:07:30,18.29,34.69,2.46, 
2020-06-18 18:08:30,18.43,32.14,1.51, 
2020-06-18 18:09:30,18.53,31.56,1.35, 
2020-06-18 18:10:30,18.57,29.72,0.55, 
2020-06-18 18:11:30,18.61,30.40,0.89, 
2020-06-18 18:12:30,18.66,33.66,2.36, 
2020-06-18 18:13:30,18.63,30.77,1.08, 
2020-06-18 18:14:30,18.56,27.73,-0.41, 
2020-06-18 18:15:30,18.43,33.57,2.12, 
2020-06-18 18:16:30,18.39,28.58,-0.15, 
2020-06-18 18:17:30,18.34,29.13,0.07, 
2020-06-18 18:18:30,18.36,28.73,-0.10, 
2020-06-18 18:19:30,18.27,29.32,0.10, 
2020-06-18 18:20:30,18.24,34.16,2.20, 
2020-06-18 18:21:30,18.29,31.78,1.23, 
2020-06-18 18:22:30,18.37,31.46,1.16, 
2020-06-18 18:23:30,18.34,27.46,-0.74, 
2020-06-18 18:24:30,18.13,31.06,0.78, 
2020-06-18 18:25:30,18.06,27.67,-0.88, 
2020-06-18 18:26:30,17.98,28.21,-0.68, 
2020-06-18 18:27:30,17.98,31.29,0.75, 
2020-06-18 18:28:30,17.96,31.24,0.71, 
2020-06-18 18:29:30,17.99,28.82,-0.37, 
2020-06-18 18:30:30,17.84,27.48,-1.15, 
2020-06-18 18:31:30,17.74,29.34,-0.35, 
2020-06-18 18:32:30,17.72,27.27,-1.37, 
2020-06-18 18:33:30,17.74,31.93,0.82, 
2020-06-18 18:34:30,17.73,28.69,-0.67, 
2020-06-18 18:35:30,17.63,30.93,0.28, 
2020-06-18 18:36:30,17.61,29.99,-0.16, 
2020-06-18 18:37:30,17.58,27.73,-1.26, 
2020-06-18 18:38:30,17.54,30.19,-0.12, 
2020-06-18 18:39:30,17.55,28.21,-1.05, 
2020-06-18 18:40:30,17.56,29.33,-0.51, 
2020-06-18 18:41:30,17.59,27.73,-1.25, 
2020-06-18 18:42:30,17.55,29.48,-0.44, 
2020-06-18 18:43:30,17.56,27.39,-1.44, 
2020-06-18 18:44:30,17.61,30.63,0.13, 
2020-06-18 18:45:30,17.72,28.44,-0.80, 
2020-06-18 18:46:30,17.81,28.14,-0.86, 
2020-06-18 18:47:30,17.88,30.52,0.31, 
2020-06-18 18:48:30,17.81,28.43,-0.72, 
2020-06-18 18:49:30,17.74,26.13,-1.93, 
2020-06-18 18:50:30,17.73,26.81,-1.59, 
2020-06-18 18:51:30,17.72,27.18,-1.42, 
2020-06-18 18:52:30,17.67,30.85,0.28, 
2020-06-18 18:53:30,17.72,30.12,-0.01, 
2020-06-18 18:54:30,17.70,29.05,-0.51, 
2020-06-18 18:55:30,17.70,29.27,-0.41, 
2020-06-18 18:56:30,17.65,26.66,-1.73, 
2020-06-18 18:57:30,17.58,27.66,-1.30, 
2020-06-18 18:58:30,17.48,27.53,-1.44, 
2020-06-18 18:59:30,17.49,29.10,-0.68, 
2020-06-18 19:00:30,17.48,30.03,-0.25, 
2020-06-18 19:01:30,17.46,31.11,0.21, 
2020-06-18 19:02:30,17.43,30.79,0.04, 
2020-06-18 19:03:30,17.40,30.83,0.04, 
2020-06-18 19:04:30,17.43,28.05,-1.23, 
2020-06-18 19:05:30,17.33,28.04,-1.32, 
2020-06-18 19:06:30,17.24,27.43,-1.70, 
2020-06-18 19:07:30,17.21,28.60,-1.15, 
2020-06-18 19:08:30,17.23,29.21,-0.85, 
2020-06-18 19:09:30,17.35,29.12,-0.79, 
2020-06-18 19:10:30,17.46,31.25,0.27, 
2020-06-18 19:11:30,17.56,30.54,0.05, 
2020-06-18 19:12:30,17.56,26.63,-1.82, 
2020-06-18 19:13:30,17.50,27.39,-1.49, 
2020-06-18 19:14:30,17.34,29.70,-0.53, 
2020-06-18 19:15:30,17.24,29.98,-0.48, 
2020-06-18 19:16:30,17.25,30.76,-0.12, 
2020-06-18 19:17:30,17.35,28.13,-1.26, 
2020-06-18 19:18:30,17.43,29.85,-0.39, 
2020-06-18 19:19:30,17.43,27.79,-1.36, 
2020-06-18 19:20:30,17.37,25.59,-2.52, 
2020-06-18 19:21:30,17.40,32.11,0.60, 
2020-06-18 19:22:30,17.54,29.98,-0.22, 
2020-06-18 19:23:30,17.62,28.53,-0.84, 
2020-06-18 19:24:30,17.62,28.35,-0.92, 
2020-06-18 19:25:30,17.59,26.96,-1.64, 
2020-06-18 19:26:30,17.46,27.26,-1.59, 
2020-06-18 19:27:30,17.40,31.76,0.45, 
2020-06-18 19:28:30,17.40,31.78,0.46, 
2020-06-18 19:29:30,17.58,28.71,-0.79, 
2020-06-18 19:30:30,17.81,26.48,-1.68, 
2020-06-18 19:31:30,17.93,27.67,-0.99, 
2020-06-18 19:32:30,17.95,28.42,-0.60, 
2020-06-18 19:33:30,17.99,28.20,-0.67, 
2020-06-18 19:34:30,17.91,30.48,0.32, 
2020-06-18 19:35:30,17.80,26.40,-1.74, 
2020-06-18 19:36:30,17.75,30.38,0.14, 
2020-06-18 19:37:30,17.76,26.12,-1.92, 
2020-06-18 19:38:30,17.66,25.12,-2.53, 
2020-06-18 19:39:30,17.40,25.60,-2.49, 
2020-06-18 19:40:30,17.17,27.51,-1.72, 
2020-06-18 19:41:30,17.01,28.57,-1.34, 
2020-06-18 19:42:30,16.92,28.31,-1.54, 
2020-06-18 19:43:30,16.78,30.10,-0.83, 
2020-06-18 19:44:30,16.72,31.18,-0.40, 
2020-06-18 19:45:30,16.78,28.86,-1.40, 
2020-06-18 19:46:30,16.77,27.61,-2.01, 
2020-06-18 19:47:30,16.72,28.72,-1.52, 
2020-06-18 19:48:30,16.67,29.15,-1.36, 
2020-06-18 19:49:30,16.64,32.13,-0.06, 
2020-06-18 19:50:30,16.72,30.57,-0.67, 
2020-06-18 19:51:30,16.85,28.62,-1.46, 
2020-06-18 19:52:30,16.90,29.36,-1.07, 
2020-06-18 19:53:30,16.92,31.45,-0.11, 
2020-06-18 19:54:30,16.96,31.97,0.16, 
2020-06-18 19:55:30,17.07,27.71,-1.71, 
2020-06-18 19:56:30,17.07,27.53,-1.80, 
2020-06-18 19:57:30,17.03,27.70,-1.75, 
2020-06-18 19:58:30,16.91,26.96,-2.22, 
2020-06-18 19:59:30,16.64,27.22,-2.31, 
2020-06-18 20:00:30,16.44,28.89,-1.68, 
2020-06-18 20:01:30,16.30,28.34,-2.06, 
2020-06-18 20:02:30,16.31,29.70,-1.42, 
2020-06-18 20:03:30,16.36,28.73,-1.82, 
2020-06-18 20:04:30,16.35,30.38,-1.07, 
2020-06-18 20:05:30,16.47,28.31,-1.93, 
2020-06-18 20:06:30,16.44,30.18,-1.09, 
2020-06-18 20:07:30,16.50,28.91,-1.62, 
2020-06-18 20:08:30,16.50,30.71,-0.80, 
2020-06-18 20:09:30,16.56,29.54,-1.28, 
2020-06-18 20:10:30,16.54,30.50,-0.86, 
2020-06-18 20:11:30,16.59,32.97,0.26, 
2020-06-18 20:12:30,16.69,30.28,-0.83, 
2020-06-18 20:13:30,16.82,27.41,-2.06, 
2020-06-18 20:14:30,16.80,28.03,-1.78, 
2020-06-18 20:15:30,16.77,27.71,-1.96, 
2020-06-18 20:16:30,16.74,27.50,-2.09, 
2020-06-18 20:17:30,16.64,30.15,-0.92, 
2020-06-18 20:18:30,16.47,30.68,-0.84, 
2020-06-18 20:19:30,16.28,29.25,-1.66, 
2020-06-18 20:20:30,16.08,29.45,-1.73, 
2020-06-18 20:21:30,15.76,30.42,-1.57, 
2020-06-18 20:22:30,15.55,32.31,-0.93, 
2020-06-18 20:23:30,15.39,31.17,-1.56, 
2020-06-18 20:24:30,15.26,29.02,-2.64, 
2020-06-18 20:25:30,15.19,30.27,-2.13, 
2020-06-18 20:26:30,15.16,31.17,-1.76, 
2020-06-18 20:27:30,15.09,29.86,-2.41, 
2020-06-18 20:28:30,15.08,29.78,-2.45, 
2020-06-18 20:29:30,15.10,33.23,-0.95, 
2020-06-18 20:30:30,15.01,30.09,-2.37, 
2020-06-18 20:31:30,14.88,32.62,-1.39, 
2020-06-18 20:32:30,14.65,32.00,-1.86, 
2020-06-18 20:33:30,14.47,32.63,-1.75, 
2020-06-18 20:34:30,14.33,31.86,-2.20, 
2020-06-18 20:35:30,14.25,30.68,-2.77, 
2020-06-18 20:36:30,14.20,29.85,-3.18, 
2020-06-18 20:37:30,14.11,30.14,-3.13, 
2020-06-18 20:38:30,14.10,30.44,-3.00, 
2020-06-18 20:39:30,14.14,30.61,-2.89, 
2020-06-18 20:40:30,14.06,31.24,-2.70, 
2020-06-18 20:41:30,13.96,31.62,-2.62, 
2020-06-18 20:42:30,13.79,29.30,-3.79, 
2020-06-18 20:43:30,13.64,33.72,-2.03, 
2020-06-18 20:44:30,13.53,29.71,-3.82, 
2020-06-18 20:45:30,13.40,31.67,-3.08, 
2020-06-18 20:46:30,13.27,32.18,-2.98, 
2020-06-18 20:47:30,13.22,31.35,-3.38, 
2020-06-18 20:48:30,13.14,32.07,-3.15, 
2020-06-18 20:49:30,13.05,32.12,-3.20, 
2020-06-18 20:50:30,12.94,31.62,-3.50, 
2020-06-18 20:51:30,12.77,34.51,-2.48, 
2020-06-18 20:52:30,12.61,34.55,-2.61, 
2020-06-18 20:53:30,12.46,34.83,-2.63, 
2020-06-18 20:54:30,12.35,34.82,-2.73, 
2020-06-18 20:55:30,12.28,33.05,-3.50, 
2020-06-18 20:56:30,12.17,36.85,-2.13, 
2020-06-18 20:57:30,12.13,36.63,-2.25, 
2020-06-18 20:58:30,12.04,36.73,-2.29, 
2020-06-18 20:59:30,12.00,35.90,-2.63, 
2020-06-18 21:00:30,11.94,33.10,-3.77, 
2020-06-18 21:01:30,11.85,38.80,-1.72, 
2020-06-18 21:02:30,11.77,33.38,-3.81, 
2020-06-18 21:03:30,11.68,37.10,-2.48, 
2020-06-18 21:04:30,11.63,35.32,-3.18, 
2020-06-18 21:05:30,11.56,33.03,-4.14, 
2020-06-18 21:06:30,11.52,38.61,-2.09, 
2020-06-18 21:07:30,11.45,34.37,-3.70, 
2020-06-18 21:08:30,11.38,34.88,-3.57, 
2020-06-18 21:09:30,11.31,34.40,-3.82, 
2020-06-18 21:10:30,11.23,35.99,-3.29, 
2020-06-18 21:11:30,11.15,37.42,-2.83, 
2020-06-18 21:12:30,11.12,36.50,-3.19, 
2020-06-18 21:13:30,11.04,37.15,-3.03, 
2020-06-18 21:14:30,11.01,38.13,-2.70, 
2020-06-18 21:15:30,10.95,38.93,-2.48, 
2020-06-18 21:16:30,10.90,38.23,-2.77, 
2020-06-18 21:17:30,10.82,36.21,-3.57, 
2020-06-18 21:18:30,10.80,38.50,-2.77, 
2020-06-18 21:19:30,10.80,40.84,-1.97, 
2020-06-18 21:20:30,10.69,37.51,-3.21, 
2020-06-18 21:21:30,10.70,36.43,-3.59, 
2020-06-18 21:22:30,10.63,35.42,-4.03, 
2020-06-18 21:23:30,10.57,36.63,-3.63, 
2020-06-18 21:24:30,10.55,37.03,-3.51, 
2020-06-18 21:25:30,10.54,40.15,-2.43, 
2020-06-18 21:26:30,10.44,36.48,-3.80, 
2020-06-18 21:27:30,10.41,36.45,-3.84, 
2020-06-18 21:28:30,10.38,36.57,-3.83, 
2020-06-18 21:29:30,10.30,38.07,-3.36, 
2020-06-18 21:30:30,10.26,37.32,-3.66, 
2020-06-18 21:31:30,10.22,37.46,-3.65, 
2020-06-18 21:32:30,10.19,35.83,-4.27, 
2020-06-18 21:33:30,10.14,34.96,-4.63, 
2020-06-18 21:34:30,10.09,36.08,-4.26, 
2020-06-18 21:35:30,10.09,35.68,-4.41, 
2020-06-18 21:36:30,10.01,36.68,-4.11, 
2020-06-18 21:37:30,9.97,36.89,-4.07, 
2020-06-18 21:38:30,9.93,37.59,-3.86, 
2020-06-18 21:39:30,9.89,38.49,-3.59, 
2020-06-18 21:40:30,9.88,38.47,-3.60, 
2020-06-18 21:41:30,9.86,35.27,-4.77, 
2020-06-18 21:42:30,9.84,35.80,-4.59, 
2020-06-18 21:43:30,9.80,36.06,-4.53, 
2020-06-18 21:44:30,9.79,36.14,-4.51, 
2020-06-18 21:45:30,9.79,36.50,-4.38, 
2020-06-18 21:46:30,9.77,37.07,-4.19, 
2020-06-18 21:47:30,9.71,38.94,-3.58, 
2020-06-18 21:48:30,9.69,35.25,-4.92, 
2020-06-18 21:49:30,9.68,35.46,-4.85, 
2020-06-18 21:50:30,9.66,35.03,-5.04, 
2020-06-18 21:51:30,9.67,34.81,-5.11, 
2020-06-18 21:52:30,9.67,35.91,-4.70, 
2020-06-18 21:53:30,9.68,36.96,-4.31, 
2020-06-18 21:54:30,9.70,36.70,-4.38, 
2020-06-18 21:55:30,9.70,36.82,-4.34, 
2020-06-18 21:56:30,9.70,38.03,-3.91, 
2020-06-18 21:57:30,9.76,35.88,-4.63, 
2020-06-18 21:58:30,9.72,36.59,-4.40, 
2020-06-18 21:59:30,9.72,35.13,-4.94, 
2020-06-18 22:00:30,9.71,38.37,-3.78, 
2020-06-18 22:01:30,9.74,36.29,-4.50, 
2020-06-18 22:02:30,9.70,35.61,-4.78, 
2020-06-18 22:03:30,9.71,36.78,-4.34, 
2020-06-18 22:04:30,9.72,37.90,-3.93, 
2020-06-18 22:05:30,9.70,35.94,-4.66, 
2020-06-18 22:06:30,9.70,38.46,-3.76, 
2020-06-18 22:07:30,9.69,37.14,-4.23, 
2020-06-18 22:08:30,9.66,37.11,-4.27, 
2020-06-18 22:09:30,9.66,36.71,-4.42, 
2020-06-18 22:10:30,9.67,36.85,-4.36, 
2020-06-18 22:11:30,9.65,36.13,-4.64, 
2020-06-18 22:12:30,9.61,36.08,-4.69, 
2020-06-18 22:13:30,9.60,37.33,-4.25, 
2020-06-18 22:14:30,9.56,39.30,-3.59, 
2020-06-18 22:15:30,9.56,39.35,-3.58, 
2020-06-18 22:16:30,9.49,37.82,-4.17, 
2020-06-18 22:17:30,9.47,35.99,-4.85, 
2020-06-18 22:18:30,9.45,37.88,-4.19, 
2020-06-18 22:19:30,9.42,38.12,-4.13, 
2020-06-18 22:20:30,9.41,36.48,-4.72, 
2020-06-18 22:21:30,9.38,36.18,-4.86, 
2020-06-18 22:22:30,9.35,37.90,-4.27, 
2020-06-18 22:23:30,9.34,38.22,-4.17, 
2020-06-18 22:24:30,9.33,41.81,-2.98, 
2020-06-18 22:25:30,9.29,39.84,-3.66, 
2020-06-18 22:26:30,9.29,39.42,-3.80, 
2020-06-18 22:27:30,9.25,38.36,-4.20, 
2020-06-18 22:28:30,9.22,37.79,-4.43, 
2020-06-18 22:29:30,9.18,38.22,-4.31, 
2020-06-18 22:30:30,9.20,38.49,-4.20, 
2020-06-18 22:31:30,9.17,37.76,-4.48, 
2020-06-18 22:32:30,9.17,39.10,-4.02, 
2020-06-18 22:33:30,9.14,37.19,-4.71, 
